	WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE
1365	despise	despised	despised	despising
1366	despoil	despoilled	despoilled	despoilling
1367	destabilize	destabilized	destabilized	destabilizing
1368	destine	destined	destined	destining
1369	destroy	destroyed	destroyed	destroying
1370	detach	detached	detached	detaching
1371	detail	detailled	detailled	detailling
1372	detain	detainned	detainned	detainning
1373	detect	detected	detected	detecting
1374	deter	deterred	deterred	deterring
1375	deteriorate	deteriorated	deteriorated	deteriorating
1376	determine	determined	determined	determining
1377	detest	detested	detested	detesting
1378	dethrone	dethroned	dethroned	dethroning
1379	detonate	detonated	detonated	detonating
1380	detour	detourred	detourred	detourring
1381	detract	detracted	detracted	detracting
1382	detrain	detrainned	detrainned	detrainning
1383	detribalize	detribalized	detribalized	detribalizing
1384	devaluate	devaluated	devaluated	devaluating
1385	devalue	devalued	devalued	devaluing
1386	devastate	devastated	devastated	devastating
1387	develop	developped	developped	developping
1388	deviate	deviated	deviated	deviating
1389	devil	devilled	devilled	devilling
1390	devise	devised	devised	devising
1391	devitalize	devitalized	devitalized	devitalizing
1392	devolve	devolved	devolved	devolving
1393	devote	devoted	devoted	devoting
1394	devour	devourred	devourred	devourring
1395	diagnose	diagnosed	diagnosed	diagnosing
1396	dial	(dialled dialed)	(dialled dialed)	(dialling dialing)
1397	dibble	dibbled	dibbled	dibbling
1398	dice	diced	diced	dicing
1399	dicker	dickerred	dickerred	dickerring
1400	dictate	dictated	dictated	dictating
1401	diddle	diddled	diddled	diddling
1402	die	died	died	dying
1403	diet	dietted	dietted	dietting
1404	differ	differred	differred	differring
1405	differentiate	differentiated	differentiated	differentiating
1406	diffract	diffracted	diffracted	diffracting
1407	diffuse	diffused	diffused	diffusing
1408	dig	dug	dug	digging
1409	digest	digested	digested	digesting
1410	dignify	dignified	dignified	dignifying
1411	digress	digressed	digressed	digressing
1412	dike	diked	diked	diking
1413	dilate	dilated	dilated	dilating
1414	dilly-dally	dilly-dallied	dilly-dallied	dilly-dallying
1415	dilute	diluted	diluted	diluting
1416	dim	dimmed	dimmed	dimming
1417	diminish	diminished	diminished	diminishing
1418	dimple	dimpled	dimpled	dimpling
1419	din	dinned	dinned	dinning
1420	dine	dined	dined	dining
1421	dip	dipped	dipped	dipping
1422	direct	directed	directed	directing
1423	dirty	dirtied	dirtied	dirtying
1424	disable	disabled	disabled	disabling
1425	disabuse	disabused	disabused	disabusing
1426	disagree	disagreed	disagreed	disagreeing
1427	disallow	disallowed	disallowed	disallowing
1428	disappear	disappearred	disappearred	disappearring
1429	disappoint	disappointed	disappointed	disappointing
1430	disapprove	disapproved	disapproved	disapproving
1431	disarm	disarmed	disarmed	disarming
1432	disarrange	disarranged	disarranged	disarranging
1433	disarray	disarrayed	disarrayed	disarraying
1434	disassociate	disassociated	disassociated	disassociating
1435	disavow	disavowed	disavowed	disavowing
1436	disband	disbanded	disbanded	disbanding
1437	disbelieve	disbelieved	disbelieved	disbelieving
1438	disbud	disbudded	disbudded	disbudding
1439	disburden	disburdenned	disburdenned	disburdenning
1440	disburse	disbursed	disbursed	disbursing
1441	discard	discarded	discarded	discarding
1442	discern	discerned	discerned	discerning
1443	discharge	discharged	discharged	discharging
1444	discipline	disciplined	disciplined	disciplining
1445	disclaim	disclaimmed	disclaimmed	disclaimming
1446	disclose	disclosed	disclosed	disclosing
1447	discolor	discolorred	discolorred	discolorring
1448	discolour	discolourred	discolourred	discolourring
1449	discomfit	discomfitted	discomfitted	discomfitting
1450	discommode	discommoded	discommoded	discommoding
1451	discompose	discomposed	discomposed	discomposing
1452	disconcert	disconcerted	disconcerted	disconcerting
1453	disconnect	disconnected	disconnected	disconnecting
1454	discontent	discontented	discontented	discontenting
1455	discontinue	discontinued	discontinued	discontinuing
1456	discount	discounted	discounted	discounting
1457	discountenance	discountenanced	discountenanced	discountenancing
1458	discourage	discouraged	discouraged	discouraging
1459	discourse	discoursed	discoursed	discoursing
1460	discover	discoverred	discoverred	discoverring
1461	discredit	discreditted	discreditted	discreditting
1462	discriminate	discriminated	discriminated	discriminating
1463	discuss	discussed	discussed	discussing
1464	disdain	disdainned	disdainned	disdainning
1465	disembark	disembarked	disembarked	disembarking
1466	disembarrass	disembarrassed	disembarrassed	disembarrassing
1467	disembody	disembodied	disembodied	disembodying
1468	disembowel	(disembowelled disemboweled)	(disembowelled disemboweled)	(disembowelling
1469	                                                                      disemboweling)	                                                                      disemboweling)ed	                                                                      disemboweling)ed	                                                                      disemboweling)ing
1470	disenchant	disenchanted	disenchanted	disenchanting
1471	disencumber	disencumberred	disencumberred	disencumberring
1472	disenfranchise	disenfranchised	disenfranchised	disenfranchising
1473	disengage	disengaged	disengaged	disengaging
1474	disentangle	disentangled	disentangled	disentangling
1475	disestablish	disestablished	disestablished	disestablishing
1476	disfavor	disfavorred	disfavorred	disfavorring
1477	disfavour	disfavourred	disfavourred	disfavourring
1478	disfigure	disfigured	disfigured	disfiguring
1479	disfranchise	disfranchised	disfranchised	disfranchising
1480	disgorge	disgorged	disgorged	disgorging
1481	disgrace	disgraced	disgraced	disgracing
1482	disguise	disguised	disguised	disguising
1483	disgust	disgusted	disgusted	disgusting
1484	dish	dished	dished	dishing
1485	dishearten	disheartenned	disheartenned	disheartenning
1486	dishonor	dishonorred	dishonorred	dishonorring
1487	dishonour	dishonourred	dishonourred	dishonourring
1488	disillusion	disillusionned	disillusionned	disillusionning
1489	disincline	disinclined	disinclined	disinclining
1490	disinfect	disinfected	disinfected	disinfecting
1491	disinfest	disinfested	disinfested	disinfesting
1492	disinherit	disinheritted	disinheritted	disinheritting
1493	disintegrate	disintegrated	disintegrated	disintegrating
1494	disinter	disinterred	disinterred	disinterring
1495	disjoint	disjointed	disjointed	disjointing
1496	dislike	disliked	disliked	disliking
1497	dislocate	dislocated	dislocated	dislocating
1498	dislodge	dislodged	dislodged	dislodging
1499	dismantle	dismantled	dismantled	dismantling
1500	dismay	dismayed	dismayed	dismaying
1501	dismember	dismemberred	dismemberred	dismemberring
1502	dismiss	dismissed	dismissed	dismissing
1503	dismount	dismounted	dismounted	dismounting
1504	disobey	disobeyed	disobeyed	disobeying
1505	disoblige	disobliged	disobliged	disobliging
1506	disorder	disorderred	disorderred	disorderring
1507	disorganize	disorganized	disorganized	disorganizing
1508	disorient	disoriented	disoriented	disorienting
1509	disorientate	disorientated	disorientated	disorientating
1510	disown	disowned	disowned	disowning
1511	disparage	disparaged	disparaged	disparaging
1512	dispatch	dispatched	dispatched	dispatching
1513	dispel	dispelled	dispelled	dispelling
1514	dispense	dispensed	dispensed	dispensing
1515	disperse	dispersed	dispersed	dispersing
1516	dispirit	dispiritted	dispiritted	dispiritting
1517	displace	displaced	displaced	displacing
1518	display	displayed	displayed	displaying
1519	displease	displeased	displeased	displeasing
1520	disport	disported	disported	disporting
1521	dispose	disposed	disposed	disposing
1522	dispossess	dispossessed	dispossessed	dispossessing
1523	disprove	disproved	disproved	disproving
1524	dispute	disputed	disputed	disputing
1525	disqualify	disqualified	disqualified	disqualifying
1526	disquiet	disquietted	disquietted	disquietting
1527	disregard	disregarded	disregarded	disregarding
1528	disrobe	disrobed	disrobed	disrobing
1529	disrupt	disrupted	disrupted	disrupting
1530	dissatisfy	dissatisfied	dissatisfied	dissatisfying
1531	dissect	dissected	dissected	dissecting
1532	dissemble	dissembled	dissembled	dissembling
1533	disseminate	disseminated	disseminated	disseminating
1534	dissent	dissented	dissented	dissenting
1535	dissever	disseverred	disseverred	disseverring
1536	dissimulate	dissimulated	dissimulated	dissimulating
1537	dissipate	dissipated	dissipated	dissipating
1538	dissociate	dissociated	dissociated	dissociating
1539	dissolve	dissolved	dissolved	dissolving
1540	dissuade	dissuaded	dissuaded	dissuading
1541	distance	distanced	distanced	distancing
1542	distend	distended	distended	distending
1543	distil	distilled	distilled	distilling
1544	distinguish	distinguished	distinguished	distinguishing
1545	distort	distorted	distorted	distorting
1546	distract	distracted	distracted	distracting
1547	distrain	distrainned	distrainned	distrainning
1548	distress	distressed	distressed	distressing
1549	distribute	distributed	distributed	distributing
1550	distrust	distrusted	distrusted	distrusting
1551	disturb	disturbed	disturbed	disturbing
1552	disunite	disunited	disunited	disuniting
1553	ditch	ditched	ditched	ditching
1554	dither	ditherred	ditherred	ditherring
1555	divagate	divagated	divagated	divagating
1556	dive	(dove dived)	dived	diving
1557	dive-bomb	dive-bombed	dive-bombed	dive-bombing
1558	diverge	diverged	diverged	diverging
1559	diversify	diversified	diversified	diversifying
1560	divert	diverted	diverted	diverting
1561	divest	divested	divested	divesting
1562	divide	divided	divided	dividing
1563	divine	divined	divined	divining
1564	divorce	divorced	divorced	divorcing
1565	divulge	divulged	divulged	divulging
1566	dizzy	dizzied	dizzied	dizzying
1567	do	did	done	doing
1568	dock	docked	docked	docking
1569	docket	docketted	docketted	docketting
1570	doctor	doctorred	doctorred	doctorring
1571	document	documented	documented	documenting
1572	dodder	dodderred	dodderred	dodderring
1573	dodge	dodged	dodged	dodging
1574	doff	doffed	doffed	doffing
1575	dog	dogged	dogged	dogging
1576	dogmatize	dogmatized	dogmatized	dogmatizing
1577	dole	doled	doled	doling
1578	doll	dolled	dolled	dolling
1579	domesticate	domesticated	domesticated	domesticating
1580	dominate	dominated	dominated	dominating
1581	domineer	domineerred	domineerred	domineerring
1582	don	donned	donned	donning
1583	donate	donated	donated	donating
1584	doodle	doodled	doodled	doodling
1585	doom	doommed	doommed	doomming
1586	dope	doped	doped	doping
1587	dose	dosed	dosed	dosing
1588	doss	dossed	dossed	dossing
1589	dot	dotted	dotted	dotting
1590	dote	doted	doted	doting
1591	double	doubled	doubled	doubling
1592	double-check	double-checked	double-checked	double-checking
1593	double-cross	double-crossed	double-crossed	double-crossing
1594	double-park	double-parked	double-parked	double-parking
1595	doubt	doubted	doubted	doubting
1596	douse	doused	doused	dousing
1597	dovetail	dovetailled	dovetailled	dovetailling
1598	dower	dowerred	dowerred	dowerring
1599	down	downed	downed	downing
1600	downgrade	downgraded	downgraded	downgrading
1601	downplay	downplayed	downplayed	downplaying
1602	dowse	dowsed	dowsed	dowsing
1603	doze	dozed	dozed	dozing
1604	draft	drafted	drafted	drafting
1605	drag	dragged	dragged	dragging
1606	dragoon	dragoonned	dragoonned	dragoonning
1607	drain	drainned	drainned	drainning
1608	dramatize	dramatized	dramatized	dramatizing
1609	drape	draped	draped	draping
1610	drat	dratted	dratted	dratting
1611	draw	drew	drawn	drawing
1612	drawl	drawled	drawled	drawling
1613	dread	dreadded	dreadded	dreadding
1614	dream	dreammed	dreammed	dreamming
1615	dredge	dredged	dredged	dredging
1616	drench	drenched	drenched	drenching
1617	dress	dressed	dressed	dressing
1618	dribble	dribbled	dribbled	dribbling
1619	drift	drifted	drifted	drifting
1620	drill	drilled	drilled	drilling
1621	drink	drank	drunk	drinking
1622	drip	dripped	dripped	dripping
1623	drip-dry	drip-dried	drip-dried	drip-drying
1624	drive	drove	driven	driving
1625	drivel	drivelled	drivelled	drivelling
1626	drizzle	drizzled	drizzled	drizzling
1627	drone	droned	droned	droning
1628	drool	droolled	droolled	droolling
1629	droop	droopped	droopped	droopping
1630	drop	dropped	dropped	dropping
1631	drown	drowned	drowned	drowning
1632	drowse	drowsed	drowsed	drowsing
1633	drub	drubbed	drubbed	drubbing
1634	drudge	drudged	drudged	drudging
1635	drug	drugged	drugged	drugging
1636	drum	drummed	drummed	drumming
1637	dry	dried	dried	drying
1638	dry-clean	dry-cleanned	dry-cleanned	dry-cleanning
1639	dub	dubbed	dubbed	dubbing
1640	duck	ducked	ducked	ducking
1641	duel	(duelled dueled)	(duelled dueled)	(duelling dueling)
1642	dull	dulled	dulled	dulling
1643	dumbfound	dumbfounded	dumbfounded	dumbfounding
1644	dump	dumped	dumped	dumping
1645	dun	dunned	dunned	dunning
1646	dunk	dunked	dunked	dunking
1647	dupe	duped	duped	duping
1648	duplicate	duplicated	duplicated	duplicating
1649	dust	dusted	dusted	dusting
1650	dwarf	dwarfed	dwarfed	dwarfing
1651	dwell	dwelt	dwelled	dwelling
1652	dwindle	dwindled	dwindled	dwindling
1653	dye	dyed	dyed	dying
1654	dyke	dyked	dyked	dyking
1655	dynamite	dynamited	dynamited	dynamiting
1656	earmark	earmarked	earmarked	earmarking
1657	earn	earned	earned	earning
1658	earth	earthed	earthed	earthing
1659	ease	eased	eased	easing
1660	eat	ate	eaten	eatting
1661	eavesdrop	eavesdropped	eavesdropped	eavesdropping
1662	ebb	ebbed	ebbed	ebbing
1663	echo	echoed	echoed	echoing
1664	eclipse	eclipsed	eclipsed	eclipsing
1665	economize	economized	economized	economizing
1666	eddy	eddied	eddied	eddying
1667	edge	edged	edged	edging
1668	edify	edified	edified	edifying
1669	edit	editted	editted	editting
1670	educate	educated	educated	educating
1671	educe	educed	educed	educing
1672	efface	effaced	effaced	effacing
1673	effect	effected	effected	effecting
1674	effervesce	effervesced	effervesced	effervescing
1675	egg	egged	egged	egging
1676	egotrip	egotripped	egotripped	egotripping
1677	ejaculate	ejaculated	ejaculated	ejaculating
1678	eject	ejected	ejected	ejecting
1679	eke	eked	eked	eking
1680	elaborate	elaborated	elaborated	elaborating
1681	elapse	elapsed	elapsed	elapsing
1682	elate	elated	elated	elating
1683	elbow	elbowed	elbowed	elbowing
1684	elect	elected	elected	electing
1685	electrify	electrified	electrified	electrifying
1686	electrocute	electrocuted	electrocuted	electrocuting
1687	electrogalvanize	electrogalvanized	electrogalvanized	electrogalvanizing
1688	electroplate	electroplated	electroplated	electroplating
1689	elevate	elevated	elevated	elevating
1690	elicit	elicitted	elicitted	elicitting
1691	elide	elided	elided	eliding
1692	eliminate	eliminated	eliminated	eliminating
1693	elongate	elongated	elongated	elongating
1694	elope	eloped	eloped	eloping
1695	elucidate	elucidated	elucidated	elucidating
1696	elude	eluded	eluded	eluding
1697	emaciate	emaciated	emaciated	emaciating
1698	emanate	emanated	emanated	emanating
1699	emancipate	emancipated	emancipated	emancipating
1700	emasculate	emasculated	emasculated	emasculating
1701	embalm	embalmed	embalmed	embalming
1702	embargo	embargoed	embargoed	embargoing
1703	embark	embarked	embarked	embarking
1704	embarrass	embarrassed	embarrassed	embarrassing
1705	embed	embedded	embedded	embedding
1706	embellish	embellished	embellished	embellishing
1707	embezzle	embezzled	embezzled	embezzling
1708	embitter	embitterred	embitterred	embitterring
1709	emblazon	emblazonned	emblazonned	emblazonning
1710	embody	embodied	embodied	embodying
1711	embolden	emboldenned	emboldenned	emboldenning
1712	emboss	embossed	embossed	embossing
1713	embrace	embraced	embraced	embracing
1714	embroider	embroiderred	embroiderred	embroiderring
1715	embroil	embroilled	embroilled	embroilling
1716	emend	emended	emended	emending
1717	emerge	emerged	emerged	emerging
1718	emigrate	emigrated	emigrated	emigrating
1719	emit	emitted	emitted	emitting
1720	empale	empaled	empaled	empaling
1721	empanel	empanelled	empanelled	empanelling
1722	emphasize	emphasized	emphasized	emphasizing
1723	emplane	emplaned	emplaned	emplaning
1724	employ	employed	employed	employing
1725	empower	empowerred	empowerred	empowerring
1726	empty	emptied	emptied	emptying
1727	emulate	emulated	emulated	emulating
1728	emulsify	emulsified	emulsified	emulsifying
1729	enable	enabled	enabled	enabling
1730	enact	enacted	enacted	enacting
1731	enamel	(enamelled enameled)	(enamelled enameled)	(enamelling enameling)
1732	encamp	encamped	encamped	encamping
1733	encase	encased	encased	encasing
1734	enchain	enchainned	enchainned	enchainning
1735	enchant	enchanted	enchanted	enchanting
1736	encircle	encircled	encircled	encircling
1737	enclose	enclosed	enclosed	enclosing
1738	encode	encoded	encoded	encoding
1739	encompass	encompassed	encompassed	encompassing
1740	encore	encored	encored	encoring
1741	encounter	encounterred	encounterred	encounterring
1742	encourage	encouraged	encouraged	encouraging
1743	encroach	encroached	encroached	encroaching
1744	encrust	encrusted	encrusted	encrusting
1745	encumber	encumberred	encumberred	encumberring
1746	end	ended	ended	ending
1747	endanger	endangerred	endangerred	endangerring
1748	endear	endearred	endearred	endearring
1749	endeavor	endeavorred	endeavorred	endeavorring
1750	endeavour	endeavourred	endeavourred	endeavourring
1751	endorse	endorsed	endorsed	endorsing
1752	endow	endowed	endowed	endowing
1753	endue	endued	endued	enduing
1754	endure	endured	endured	enduring
1755	enervate	enervated	enervated	enervating
1756	enfeeble	enfeebled	enfeebled	enfeebling
1757	enfold	enfolded	enfolded	enfolding
1758	enforce	enforced	enforced	enforcing
1759	enfranchise	enfranchised	enfranchised	enfranchising
1760	engage	engaged	engaged	engaging
1761	engender	engenderred	engenderred	engenderring
1762	engineer	engineerred	engineerred	engineerring
1763	engraft	engrafted	engrafted	engrafting
1764	engrave	engraved	engraved	engraving
1765	engross	engrossed	engrossed	engrossing
1766	engulf	engulfed	engulfed	engulfing
1767	enhance	enhanced	enhanced	enhancing
1768	enjoin	enjoinned	enjoinned	enjoinning
1769	enjoy	enjoyed	enjoyed	enjoying
1770	enkindle	enkindled	enkindled	enkindling
1771	enlarge	enlarged	enlarged	enlarging
1772	enlighten	enlightenned	enlightenned	enlightenning
1773	enlist	enlisted	enlisted	enlisting
1774	enliven	enlivenned	enlivenned	enlivenning
1775	enmesh	enmeshed	enmeshed	enmeshing
1776	ennoble	ennobled	ennobled	ennobling
1777	enplane	enplaned	enplaned	enplaning
1778	enquire	enquired	enquired	enquiring
1779	enrage	enraged	enraged	enraging
1780	enrapture	enraptured	enraptured	enrapturing
1781	enrich	enriched	enriched	enriching
1782	enrol	enrolled	enrolled	enrolling
1783	enroll	enrolled	enrolled	enrolling
1784	ensconce	ensconced	ensconced	ensconcing
1785	enshrine	enshrined	enshrined	enshrining
1786	enshroud	enshroudded	enshroudded	enshroudding
1787	enslave	enslaved	enslaved	enslaving
1788	ensnare	ensnared	ensnared	ensnaring
1789	ensue	ensued	ensued	ensuing
1790	ensure	ensured	ensured	ensuring
1791	entail	entailled	entailled	entailling
1792	entangle	entangled	entangled	entangling
1793	enter	enterred	enterred	enterring
1794	entertain	entertainned	entertainned	entertainning
1795	enthral	enthralled	enthralled	enthralling
1796	enthrall	enthralled	enthralled	enthralling
1797	enthrone	enthroned	enthroned	enthroning
1798	enthuse	enthused	enthused	enthusing
1799	entice	enticed	enticed	enticing
1800	entitle	entitled	entitled	entitling
1801	entomb	entombed	entombed	entombing
1802	entrain	entrainned	entrainned	entrainning
1803	entrance	entranced	entranced	entrancing
1804	entrap	entrapped	entrapped	entrapping
1805	entreat	entreatted	entreatted	entreatting
1806	entrench	entrenched	entrenched	entrenching
1807	entrust	entrusted	entrusted	entrusting
1808	entwine	entwined	entwined	entwining
1809	enumerate	enumerated	enumerated	enumerating
1810	enunciate	enunciated	enunciated	enunciating
1811	envelop	envelopped	envelopped	envelopping
1812	envenom	envenommed	envenommed	envenomming
1813	envisage	envisaged	envisaged	envisaging
1814	envision	envisionned	envisionned	envisionning
1815	envy	envied	envied	envying
1816	enwrap	enwrapped	enwrapped	enwrapping
1817	epitomize	epitomized	epitomized	epitomizing
1818	equal	(equalled equaled)	(equalled equaled)	(equalling equaling)
1819	equalize	equalized	equalized	equalizing
1820	equate	equated	equated	equating
1821	equip	equipped	equipped	equipping
1822	eradicate	eradicated	eradicated	eradicating
1823	erase	erased	erased	erasing
1824	erect	erected	erected	erecting
1825	erode	eroded	eroded	eroding
1826	err	erred	erred	erring
1827	erupt	erupted	erupted	erupting
1828	escalate	escalated	escalated	escalating
1829	escape	escaped	escaped	escaping
1830	eschew	eschewed	eschewed	eschewing
1831	escort	escorted	escorted	escorting
1832	espouse	espoused	espoused	espousing
1833	espy	espied	espied	espying
1834	establish	established	established	establishing
1835	esteem	esteemmed	esteemmed	esteemming
1836	estimate	estimated	estimated	estimating
1837	estrange	estranged	estranged	estranging
1838	etch	etched	etched	etching
1839	eulogize	eulogized	eulogized	eulogizing
1840	evacuate	evacuated	evacuated	evacuating
1841	evade	evaded	evaded	evading
1842	evaluate	evaluated	evaluated	evaluating
1843	evaporate	evaporated	evaporated	evaporating
1844	even	evenned	evenned	evenning
1845	evict	evicted	evicted	evicting
1846	evidence	evidenced	evidenced	evidencing
1847	evince	evinced	evinced	evincing
1848	eviscerate	eviscerated	eviscerated	eviscerating
1849	evoke	evoked	evoked	evoking
1850	evolve	evolved	evolved	evolving
1851	exacerbate	exacerbated	exacerbated	exacerbating
1852	exact	exacted	exacted	exacting
1853	exaggerate	exaggerated	exaggerated	exaggerating
1854	exalt	exalted	exalted	exalting
1855	examine	examined	examined	examining
1856	exasperate	exasperated	exasperated	exasperating
1857	excavate	excavated	excavated	excavating
1858	exceed	exceedded	exceedded	exceedding
1859	excel	excelled	excelled	excelling
1860	except	excepted	excepted	excepting
1861	exchange	exchanged	exchanged	exchanging
1862	excise	excised	excised	excising
1863	excite	excited	excited	exciting
1864	exclaim	exclaimmed	exclaimmed	exclaimming
1865	exclude	excluded	excluded	excluding
1866	excogitate	excogitated	excogitated	excogitating
1867	excommunicate	excommunicated	excommunicated	excommunicating
1868	excoriate	excoriated	excoriated	excoriating
1869	excrete	excreted	excreted	excreting
1870	exculpate	exculpated	exculpated	exculpating
1871	excuse	excused	excused	excusing
1872	execrate	execrated	execrated	execrating
1873	execute	executed	executed	executing
1874	exemplify	exemplified	exemplified	exemplifying
1875	exempt	exempted	exempted	exempting
1876	exercise	exercised	exercised	exercising
1877	exert	exerted	exerted	exerting
1878	exhale	exhaled	exhaled	exhaling
1879	exhaust	exhausted	exhausted	exhausting
1880	exhibit	exhibitted	exhibitted	exhibitting
1881	exhilarate	exhilarated	exhilarated	exhilarating
1882	exhort	exhorted	exhorted	exhorting
1883	exhume	exhumed	exhumed	exhuming
1884	exile	exiled	exiled	exiling
1885	exist	existed	existed	existing
1886	exit	exitted	exitted	exitting
1887	exonerate	exonerated	exonerated	exonerating
1888	exorcize	exorcized	exorcized	exorcizing
1889	expand	expanded	expanded	expanding
1890	expatiate	expatiated	expatiated	expatiating
1891	expatriate	expatriated	expatriated	expatriating
1892	expect	expected	expected	expecting
1893	expectorate	expectorated	expectorated	expectorating
1894	expedite	expedited	expedited	expediting
1895	expel	expelled	expelled	expelling
1896	expend	expended	expended	expending
1897	experience	experienced	experienced	experiencing
1898	experiment	experimented	experimented	experimenting
1899	expiate	expiated	expiated	expiating
1900	expire	expired	expired	expiring
1901	explain	explainned	explainned	explainning
1902	explicate	explicated	explicated	explicating
1903	explode	exploded	exploded	exploding
1904	exploit	exploitted	exploitted	exploitting
1905	explore	explored	explored	exploring
1906	export	exported	exported	exporting
1907	expose	exposed	exposed	exposing
1908	expostulate	expostulated	expostulated	expostulating
1909	expound	expounded	expounded	expounding
1910	express	expressed	expressed	expressing
1911	expropriate	expropriated	expropriated	expropriating
1912	expunge	expunged	expunged	expunging
1913	expurgate	expurgated	expurgated	expurgating
1914	extemporize	extemporized	extemporized	extemporizing
1915	extend	extended	extended	extending
1916	extenuate	extenuated	extenuated	extenuating
1917	exteriorize	exteriorized	exteriorized	exteriorizing
1918	exterminate	exterminated	exterminated	exterminating
1919	externalize	externalized	externalized	externalizing
1920	extinguish	extinguished	extinguished	extinguishing
1921	extirpate	extirpated	extirpated	extirpating
1922	extol	extolled	extolled	extolling
1923	extort	extorted	extorted	extorting
1924	extract	extracted	extracted	extracting
1925	extradite	extradited	extradited	extraditing
1926	extrapolate	extrapolated	extrapolated	extrapolating
1927	extricate	extricated	extricated	extricating
1928	extrude	extruded	extruded	extruding
1929	exude	exuded	exuded	exuding
1930	exult	exulted	exulted	exulting
1931	eye	eyed	eyed	(eying eyeing)
1932	fabricate	fabricated	fabricated	fabricating
1933	face	faced	faced	facing
1934	facilitate	facilitated	facilitated	facilitating
1935	factor	factorred	factorred	factorring
1936	factorize	factorized	factorized	factorizing
1937	fade	faded	faded	fading
1938	fag	fagged	fagged	fagging
1939	fail	failled	failled	failling
1940	faint	fainted	fainted	fainting
1941	fake	faked	faked	faking
1942	fall	fell	fallen	falling
1943	falsify	falsified	falsified	falsifying
1944	falter	falterred	falterred	falterring
1945	familiarize	familiarized	familiarized	familiarizing
1946	famish	famished	famished	famishing
1947	fan	fanned	fanned	fanning
1948	fancy	fancied	fancied	fancying
1949	fare	fared	fared	faring
1950	farm	farmed	farmed	farming
1951	farrow	farrowed	farrowed	farrowing
1952	fart	farted	farted	farting
1953	fascinate	fascinated	fascinated	fascinating
1954	fashion	fashionned	fashionned	fashionning
1955	fast	fasted	fasted	fasting
1956	fasten	fastenned	fastenned	fastenning
1957	fat	fatted	fatted	fatting
1958	fate	fated	fated	fating
1959	father	fatherred	fatherred	fatherring
1960	fathom	fathommed	fathommed	fathomming
1961	fatigue	fatigued	fatigued	fatiguing
1962	fatten	fattenned	fattenned	fattenning
1963	fault	faulted	faulted	faulting
1964	favor	favorred	favorred	favorring
1965	favour	favourred	favourred	favourring
1966	fawn	fawned	fawned	fawning
1967	fax	faxed	faxed	faxing
1968	fear	fearred	fearred	fearring
1969	feast	feasted	feasted	feasting
1970	featherbed	featherbedded	featherbedded	featherbedding
1971	feature	featured	featured	featuring
1972	federate	federated	federated	federating
1973	fee	feed	feed	feeing
1974	feed	fed	fed	feedding
1975	feel	felt	felt	feelling
1976	feign	feigned	feigned	feigning
1977	feint	feinted	feinted	feinting
1978	felicitate	felicitated	felicitated	felicitating
1979	fell	felled	felled	felling
1980	fence	fenced	fenced	fencing
1981	fend	fended	fended	fending
1982	ferment	fermented	fermented	fermenting
1983	ferret	ferretted	ferretted	ferretting
1984	ferry	ferried	ferried	ferrying
1985	fertilize	fertilized	fertilized	fertilizing
1986	fester	festerred	festerred	festerring
1987	festoon	festoonned	festoonned	festoonning
1988	fetch	fetched	fetched	fetching
1989	feud	feudded	feudded	feudding
1990	fib	fibbed	fibbed	fibbing
1991	fiddle	fiddled	fiddled	fiddling
1992	fidget	fidgetted	fidgetted	fidgetting
1993	field	fielded	fielded	fielding
1994	fight	fought	fought	fighting
1995	figure	figured	figured	figuring
1996	filch	filched	filched	filching
1997	file	filed	filed	filing
1998	filibuster	filibusterred	filibusterred	filibusterring
1999	fill	filled	filled	filling
2000	film	filmed	filmed	filming
2001	filter	filterred	filterred	filterring
2002	filtrate	filtrated	filtrated	filtrating
2003	finalize	finalized	finalized	finalizing
2004	finance	financed	financed	financing
2005	find	found	found	finding
2006	fine	fined	fined	fining
2007	finger	fingerred	fingerred	fingerring
2008	finish	finished	finished	finishing
2009	fire	fired	fired	firing
2010	firm	firmed	firmed	firming
2011	fish	fished	fished	fishing
2012	fit	fitted	fitted	fitting
2013	fix	fixed	fixed	fixing
2014	fixate	fixated	fixated	fixating
2015	fizz	fizzed	fizzed	fizzing
2016	fizzle	fizzled	fizzled	fizzling
2017	flabbergast	flabbergasted	flabbergasted	flabbergasting
2018	flag	flagged	flagged	flagging
2019	flagellate	flagellated	flagellated	flagellating
2020	flail	flailled	flailled	flailling
2021	flake	flaked	flaked	flaking
2022	flame	flamed	flamed	flaming
2023	flank	flanked	flanked	flanking
2024	flap	flapped	flapped	flapping
2025	flare	flared	flared	flaring
2026	flash	flashed	flashed	flashing
2027	flatten	flattenned	flattenned	flattenning
2028	flatter	flatterred	flatterred	flatterring
2029	flaunt	flaunted	flaunted	flaunting
2030	flavor	flavorred	flavorred	flavorring
2031	flavour	flavourred	flavourred	flavourring
2032	flay	flayed	flayed	flaying
2033	fleck	flecked	flecked	flecking
2034	flee	fled	fled	fleeing
2035	fleece	fleeced	fleeced	fleecing
2036	flex	flexed	flexed	flexing
2037	flick	flicked	flicked	flicking
2038	flicker	flickerred	flickerred	flickerring
2039	flight	flighted	flighted	flighting
2040	flinch	flinched	flinched	flinching
2041	fling	flung	flung	flinging
2042	flip	flipped	flipped	flipping
2043	flirt	flirted	flirted	flirting
2044	flit	flitted	flitted	flitting
2045	float	floatted	floatted	floatting
